stage,requirement,required_micro_step_groups,required_equation_ids,visible_outputs,micro_steps_present,equations_present,contract_passed
inputs,Every local input is inventoried and hashed before use.,source_inventory,,source_inventory_r788.csv,True,True,True
2025_missingness,Eurostat 2025 coverage is checked by country and by required variable.,eurostat_gate|complete_cases,,eurostat_2025_missingness_ledger_r788.csv; feature_set_complete_case_2025_r788.csv,True,True,True
state_variables,"Debt, liquidity, income and trade state variables are built in visible notebook cells.",state_panel|tiva|standardisation|poland_profile,,state_variable_source_panel_r788.csv; poland_mixed_window_profile_r788.csv,True,True,True
lp_panel,"All horizons, lags and dependent variables used by local projections are created in the notebook.",lp_panel,,lp_work_preparation_summary_r788.csv,True,True,True
shock,The investment shock is constructed from visible residualization and Cholesky steps.,shock,fixed_effect_residualization,shock_construction_meta_r788.csv,True,True,True
interactions,Lagged state variables and shock-by-state interactions are built before estimation.,interactions,poland_profile_contrast,lp_feature_merge_audit_irl_pol_r788.csv,True,True,True
design,"The exact regressors, sample sizes, ranks and condition numbers are exported.",design,,h8_design_matrix_summary_r788.csv; h8_design_matrix_columns_r788.csv,True,True,True
coefficients_pvalues,"Coefficients, standard errors, p-values and profile ratios are computed in notebook cells.",lp_estimation,local_projection_slope|response_ratio|normal_p_value,visible_lp_estimates_all_horizons_r788.csv,True,True,True
stepwise_estimation_audit,"Every regression has a coefficient vector, covariance block, profile-contrast row and ratio-arithmetic row.",lp_estimation_detail,local_projection_slope|response_ratio|normal_p_value|driscoll_kraay_covariance,full_stepwise_coefficients_r788.csv; full_stepwise_covariance_blocks_r788.csv; full_stepwise_profile_contrasts_r788.csv; full_stepwise_ratio_arithmetic_r788.csv,True,True,True
covariance_symmetry,Same-equation covariance blocks are checked for symmetry inside the notebook.,lp_estimation_detail,driscoll_kraay_covariance,covariance_symmetry_qa_r788.csv,True,True,True
direct_debt,Direct debt-to-GDP kernels use the same visible estimation machinery.,direct_debt,local_projection_slope|response_ratio,direct_debt_kernel_all_horizons_r788.csv,True,True,True
debt_recursion,"Scenario paths and annual debt arithmetic are explicit year by year, including equal-weight annual rows for Appendix C.",debt_recursion,scenario_convolution|dsa_debt_recursion,three_year_program_paths_r788.csv; dsa_debt_paths_r788.csv; retained_candidate_annual_debt_paths_r788.csv,True,True,True
admission,"Model selection is shown as pass/fail columns, not as an implicit choice.",admission,admission_gate,model_admission_screen_r788.csv,True,True,True
uncertainty,Country-bootstrap uncertainty is re-estimated and propagated through debt endpoints.,uncertainty,country_bootstrap,cumulative_uncertainty_bootstrap_draws_r788.csv; cumulative_uncertainty_summary_r788.csv,True,True,True
paper_surface,"Tables, figures and article numbers are mapped back to notebook outputs or source-ledger work.",paper_objects|number_mapping,,article_numeric_trace_ledger_r788.csv; article_numeric_line_action_ledger_r788.csv,True,True,True
stage_by_stage_visibility,"Every estimation stage must point to visible notebook code, inputs, outputs and QA.",visibility_audit,,estimation_visibility_audit_r788.csv; estimation_visibility_contract_r788.csv,True,True,True
notebook_cell_granularity,Long estimator cells must be split into smaller visible notebook blocks.,qa,,notebook_estimation_qa_r788.csv,True,True,True
qa,Execution must fail if the notebook delegates estimation to the old external estimator scripts.,qa,,notebook_estimation_qa_r788.csv,True,True,True
