step_order,notebook_section,audit_question,visible_calculation,primary_outputs,paper_use_status
1,2. Source inventory,"Which local files are read, what years do they cover, and what are their hashes?","Read every copied CSV, count rows and columns, compute SHA-256, and write the full-notebook granularity contract.",source_inventory_r788.csv; granular_estimation_contract_r788.csv,provenance_gate
2,3. Eurostat 2025 availability and strict gate,"Is a strict EU27 2025 profile possible, and exactly where does Ireland block it?",Country-by-country 2025 missingness and strict-gate status.,eurostat_2025_missingness_r788.csv; strict_2025_gate_r788.csv,diagnostic_gate
3,4-5. Source panel and state variables,"How are debt, liquidity, income and TiVA trade inputs constructed?","Eurostat merges, ratio construction, TiVA official-year copy only for the Poland profile.",state_variable_source_panel_r788.csv,input_construction
4,6. Standardization and Poland profile,"What mean and standard deviation produce each z-score, and what is Poland's profile?","Sample means, standard deviations, z-scores, 2022 TiVA profile copy flag.",state_variable_standardization_ledger_r788.csv; poland_mixed_window_profile_r788.csv,state_profile
5,7. Missingness and feature combinations,Which feature sets are complete in 2025 and whether Ireland is kept when its variables exist?,"All 15 non-empty feature combinations, country coverage, Ireland/Poland completeness.",feature_set_catalog_r788.csv; feature_set_2025_complete_case_r788.csv,sample_gate
6,8. Local-projection work panel,"What dependent variables, lags and horizons enter the local projections?","Dynamic changes h0-h8, lagged macro controls and estimation panel export.",lp_work_panel_r788.csv,estimation_panel
7,9. Cholesky shocks,How is the public-investment innovation isolated from the policy system?,"Residualization with country and year fixed effects, Cholesky ordering and shock export.",shock_variance_summary_r788.csv; shock_panel_r788.csv,shock_construction
8,10. Feature lags and interactions,Which lagged state variables interact with the investment shock?,"Merge lagged z-scores, form shock-by-state interactions, export merge audit.",feature_lag_merge_audit_r788.csv,interaction_construction
9,11. Design matrices,What exact regressors enter each candidate model and is each matrix usable?,"All h=8 columns, observation counts, ranks and condition numbers.",h8_design_matrix_summary_r788.csv; h8_design_matrix_columns_r788.csv,design_audit
10,12. Local-projection estimates,"What are the coefficients, standard errors, p-values, ratios and cumulative ratios?","Visible OLS after fixed-effect residualization plus Driscoll-Kraay covariance, full coefficient vectors, profile contrasts and delta-method ratio arithmetic.",visible_lp_estimates_all_horizons_r788.csv; visible_lp_estimates_h8_summary_r788.csv; full_stepwise_coefficients_r788.csv; full_stepwise_covariance_blocks_r788.csv; full_stepwise_profile_contrasts_r788.csv; full_stepwise_ratio_arithmetic_r788.csv,candidate_estimates_not_paper_truth
11,13. Direct debt kernels,What direct debt-to-GDP response is estimated from the same design?,"Direct debt outcome h0-h8, same profile-ratio estimator, same p-value logic.",direct_debt_kernel_all_horizons_r788.csv,candidate_debt_kernel_not_paper_truth
12,13. Debt recursion shell,"How do output, primary-balance and direct-debt paths enter annual debt ratios?","Scenario actions, convolution, baseline reproduction, annual debt recursion.",three_year_program_paths_r788.csv; dsa_debt_paths_r788.csv; retained_candidate_annual_debt_paths_r788.csv; debt_2036_summary_r788.csv,candidate_debt_paths_not_paper_truth
13,14. Model-admission screen,Which model paths pass each explicit diagnostic gate and why do others fail?,"Rank, condition number, feature correlation, support p-value, denominator strength and output-interaction p-value.",model_admission_screen_r788.csv,diagnostic_selection_not_final
14,15. Cumulative uncertainty,How much country-resampling uncertainty surrounds retained cumulative paths?,"Country bootstrap, re-estimated h0-h8 paths, debt propagation, interval summary.",cumulative_uncertainty_bootstrap_draws_r788.csv; cumulative_uncertainty_summary_r788.csv,uncertainty_diagnostic_not_final
15,16. Manuscript object inventory,"Which manuscript tables and figures must be replaced, sourced or manually mapped?","Read current manuscript captions and file includes, generate candidate tables and figures.",manuscript_object_inventory_r788.csv; candidate_table_manifest_r788.csv; candidate_figure_manifest_r788.csv,paper_object_mapping
16,17. Numeric inventory,Which visible article numbers still need a source mapping?,"Extract numbers from manuscript text and included table files, then classify each number by audit status.",manuscript_numeric_claim_inventory_r788.csv; current_table_numeric_inventory_r788.csv; article_numeric_surface_inventory_r788.csv; manuscript_table_to_candidate_crosswalk_r788.csv; paper_number_ledger_r788.csv,number_mapping_not_complete
17,18. Article number trace ledger,"For each extracted article number, what is the next required proof or replacement action?","Assign action classes, source-status labels, candidate source keys and line-level worklist entries to the article numeric surface.",article_numeric_trace_ledger_r788.csv; article_numeric_line_action_ledger_r788.csv; article_numeric_trace_summary_r788.csv; candidate_source_catalog_r788.csv,number_action_map_not_complete
18,18b. Estimation visibility audit,"Can a reviewer find the exact notebook code, input and output for every estimation step?","Stage-by-stage audit surface requiring visible code tokens, inputs, outputs and QA gates.",estimation_visibility_audit_r788.csv; estimation_visibility_contract_r788.csv,hard_notebook_visibility_gate
19,19. Quality gates,Do the notebook-level checks pass before any paper update is attempted?,"Explicit assertions for inputs, estimation rows, debt paths, inventories and ledgers.",notebook_estimation_qa_r788.csv,notebook_gate_only
