object_id,caption,include_path,coverage_status,source_layer,mapping_status,candidate_sources
1,Table 1. Polish multiplier evidence used to motivate instrument specific estimation.,,non_model_literature_table_requires_source_ledger,non_model_table,non_model_source_ledger_required,non_model_literature_source_ledger_required
2,Table 2. Cross country and European multiplier evidence used to motivate instrument specific estimation.,,non_model_literature_table_requires_source_ledger,non_model_table,non_model_source_ledger_required,non_model_literature_source_ledger_required
2a,"Table 2a. State-variable measurement and Polish profile, Panel A: definitions.",,candidate_table_available_from_r788_state_objects,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_state_variable_profile
2a,"Table 2a continued. State-variable measurement and Polish profile, Panel B: standardisation and Poland values.",,candidate_table_available_from_r788_state_objects,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_state_variable_profile
2b,Table 2b. One-state Polish evaluations carried into the main scenario.,,candidate_table_available_from_r788_admission_screen,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_model_admission_screen
3,Table 3. Eighth year cumulative output and spending responses for public investment.,,candidate_table_available_from_r788_response_paths,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_h8_retained_responses|r788_ky_paths|r788_kg_paths|r788_output_spending_ratio_paths
4,Table 4. Selected values of $K_Y(h)$.,,candidate_table_available_from_r788_response_paths,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_h8_retained_responses|r788_ky_paths|r788_kg_paths|r788_output_spending_ratio_paths
5,Table 5. 2036 debt-to-GDP margins relative to baseline.,,candidate_table_available_or_partial_from_r788_debt_paths,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_debt_2036_summary|r788_annual_debt_decomposition_retained_single
A.1a,Table A.1a. State variable formulas and source classes.,,candidate_table_available_from_r788_state_objects,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_state_variable_profile
A.1b,Table A.1b. State variable standardisation and Polish profile.,,candidate_table_available_from_r788_state_objects,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_state_variable_profile
A.2a,Table A.2a. Source institutions and exact data codes for state variables.,,candidate_table_available_from_r788_state_objects,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_state_variable_profile
A.2b,"Table A.2b. State-variable windows, coverage, and units.",,candidate_table_available_from_r788_state_objects,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_state_variable_profile
A.2c,Table A.2c. State-variable transformations used in the manuscript.,,candidate_table_available_from_r788_state_objects,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_state_variable_profile
A.2d,Table A.2d. Commission debt inputs and scenario source windows.,,candidate_table_available_from_r788_state_objects,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_state_variable_profile
A.3,Table A.3. Candidate selection by eighth year diagnostic screen.,,candidate_table_available_from_r788_admission_screen,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_model_admission_screen
A.4a,Table A.4a. Diagnostic values for numerical estimability.,,candidate_table_available_from_r788_admission_screen,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_model_admission_screen
A.4b,Table A.4b. Diagnostic values for support and collinearity.,,candidate_table_available_from_r788_admission_screen,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_model_admission_screen
A.4c,Table A.4c. Diagnostic criterion values.,,candidate_table_available_from_r788_admission_screen,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_model_admission_screen
B.1,"Table B.1. Cumulative output response paths, $K_Y(h)$, horizons $h=0,\ldots,8$.",,candidate_table_available_from_r788_response_paths,notebook_candidate_table,candidate_not_final_manuscript_replacement,r788_h8_retained_responses|r788_ky_paths|r788_kg_paths|r788_output_spending_ratio_paths
