stage,review_question,notebook_section,required_visible_code_tokens,visible_input,visible_output,qa_gate,frozen_result_only,required_token_count,missing_code_tokens,visible_code_present,no_external_estimator_reference,stage_passed
source_inventory,"Which copied local files enter the notebook, and how are they identified?",2. Source inventory,sha256_file(path)|||pd.read_csv(path),"Local copied CSV files under data/source_inputs, data/diagnostics and data/model_inputs.",source_inventory_r788.csv,source_inventory_complete,False,39,,True,True,True
eurostat_2025_missingness,"Exactly which 2025 Eurostat observations are missing, including Ireland?",3. Eurostat 2025 availability and strict gate,missing_2025|||strict_2025_gate_r788.csv,Eurostat availability and 2024-2025 value ledgers.,eurostat_2025_missingness_ledger_r788.csv; strict_2025_gate_r788.csv,ireland_liq_missing_only_where_needed; ireland_debt_present_2025,False,42,,True,True,True
state_variables,"How are debt, household balance-sheet fragility, income and import-content variables built?","4-6. Source panel, TiVA profile and standardisation",hh_net_financial_worth_to_gdp|||debt_raw|||log_real_ppp_gdp_pc_raw|||MIXED_TIVA_PROFILE_YEAR,"Eurostat GDP, public debt, financial-account inputs and official OECD TiVA through 2022.",state_variable_source_panel_r788.csv; state_variable_standardization_ledger_r788.csv; poland_mixed_window_profile_r788.csv,no_post_2022_tiva_fabrication_before_profile_copy; poland_trade_profile_uses_2022_tiva,False,94,,True,True,True
feature_sets_and_complete_cases,Which feature sets keep Ireland and which exclude it only because a required row is missing?,7. 2025 missingness and all feature combinations,feature_sets = []|||complete_case_rows|||missing_countries,The standardised 2025 state panel.,feature_set_catalog_r788.csv; feature_set_complete_case_2025_r788.csv; country_2025_missingness_ledger_r788.csv,liquidity_feature_set_has_26_countries; debt_log_keeps_ireland,False,60,,True,True,True
local_projection_panel,"How are horizons, lags and dependent variables created before estimation?",8. Local-projection work panel,for h in HORIZONS|||y_dyn_h{h}|||gi_dyn_h{h},The copied EU27 local-projection panel snapshot.,lp_work_preparation_summary_r788.csv,lp_estimates_cover_all_feature_sets_and_horizons,False,46,,True,True,True
shock_construction,How is the public-investment shock computed?,9. Cholesky shocks in visible cells,def cholesky_shocks|||np.linalg.cholesky|||raw_recursive,"Current and lagged fiscal, output and interest-rate variables.",shock_construction_meta_r788.csv; shock_variance_summary_r788.csv,shock_variance_positive,False,58,,True,True,True
design_matrices,What exact regressors and samples enter each h=8 design matrix?,10-11. Feature interactions and design matrices,def x_columns|||def design_sample|||h8_design_matrix_summary_r788.csv,"Shock columns, lagged state variables and fixed-effect sample.",h8_design_matrix_columns_r788.csv; h8_design_matrix_summary_r788.csv,all_design_matrices_full_rank_h8,False,71,,True,True,True
coefficients_standard_errors_p_values,"Where are coefficients, standard errors and p-values computed?",12. Visible local-projection estimates,def fit_profile_ratio|||def dk_covariance|||def normal_p_value|||stepwise_coefficient_rows,Residualised design matrices and profile contrasts.,visible_lp_estimates_all_horizons_r788.csv; visible_lp_estimates_h8_summary_r788.csv; full_stepwise_coefficients_r788.csv,pvalues_computed_in_notebook_visibility_audit,False,92,,True,True,True
stepwise_regression_arithmetic,Can the reviewer audit each profile-specific estimate from coefficient vector to ratio?,"12-13. Stepwise coefficient, covariance, contrast and ratio exports",append_stepwise_estimation_details|||full_stepwise_covariance_blocks_r788.csv|||full_stepwise_ratio_arithmetic_r788.csv|||def covariance_symmetry_audit,"Coefficient vectors, Driscoll-Kraay covariance matrices and Poland profile contrast weights.",full_stepwise_coefficients_r788.csv; full_stepwise_covariance_blocks_r788.csv; full_stepwise_profile_contrasts_r788.csv; full_stepwise_ratio_arithmetic_r788.csv; covariance_symmetry_qa_r788.csv,full_stepwise_outputs_created; covariance_symmetry_all_pass,False,153,,True,True,True
response_paths,How are incremental responses converted to cumulative K paths?,12 and 14. Visible estimates and retained paths,cumulative_ratio|||retained_candidate_response_paths_r788.csv,Horizon-by-horizon response ratios from visible regressions.,retained_candidate_response_paths_r788.csv,retained_paths_created,False,63,,True,True,True
